题记序号,题记名称,时间,公元纪年,地点,窟位,造像者人数,性别,所造佛像名称,出资者,造像者身份表述,阶层,社邑组织,实践行为（一级编码）,实践行为（二级编码）,祈愿内容（一级编码）,祈愿内容（二级编码）,造像原因（一级编码）,造像原因（二级编码）,关联历史事件,经文,妆造类型,宗教类型,宗派倾向(主宗派倾向；副宗派倾向）,备注
62,北山佛湾王陛造像记,南宋绍兴十六年（1146 年）,1146,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 136 号转轮经藏窟,北山佛湾第 136 号转轮经藏窟,2, 1男、1 女,数珠手观音菩萨,王陛（或王升）、何氏,奉佛弟子、同政,虔诚弟子(家庭合署),非社邑,供养施舍、造像制作、庄严修饰、纪念庆赞、,施财舍物、镌刻雕造、妆銮彩绘、设斋表赞,现世福报,福寿康宁 (寿算增延),祈福禳灾,延寿增福,事件未提,[不详],新造 + 镌妆,佛教,"密教,观音体系",
63,北山佛湾第 136 号转轮经藏窟造像记,南宋绍兴十二年至十六年间（1142-1146 年）,1142-1146,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 136 号转轮经藏窟,北山佛湾第 136 号转轮经藏窟,「不详」,未知（题记模糊）,阿难等,「不详」,无,[不详],非社邑,供养施舍、纪念庆赞、,施财舍物、设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
64,北山佛湾张辉造药师佛记,宋代（1131 年～1162 年）,1131-1162,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 110 号药师佛龛,北山佛湾第 110 号药师佛龛,6,3 男、3 女,药师琉璃光如来、菩萨、药叉神将,张辉、刘氏、张师明、昝氏、道保娘,奉善弟子、阖家,虔诚弟子(家庭合署),非社邑,造像制作、寺院建设、造像制作、庄严修饰、,组织营建、开窟凿洞、镌刻雕造、妆銮彩绘,现世福报,子嗣昌盛 (嗣繁昌),祈福禳灾,家族昌盛,事件未提,[不详],新造 + 镌妆,佛教,药师体系,
65,北山观音坡伏小六造像记,南宋绍兴二十四年（1154 年）,1154,重庆市大足区龙岗街道北山路北山石刻北山观音坡第 1 号龛,北山观音坡第 1 号龛,4,2 男、2 女,地藏王菩萨、引路王菩萨、四尊供养人,伏小六、何正言、杨氏、何浩、解氏,匠人、供养人、乡贡进士,混合群体(名门士族、虔诚弟子、商贾匠人),非社邑,造像制作、,镌刻雕造,超度往生,往生净土 (为亡者),超度荐亡,亡亲超荐,家庭变故(亡□□□),[不详],新造,佛教,"净土,地藏体系",
66,北山观音坡第 30 号龛造像记,南宋绍兴年间,1131-1162,重庆市大足区龙岗街道北山路北山石刻北山观音坡第 30 号龛,北山观音坡第 30 号龛,「不详」,未知（题记模糊）,观音,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系,
67,北山观音坡刘揆造像记,南宋（早于绍兴十八年）,≤1148,重庆市大足区龙岗街道北山路北山石刻北山观音坡第 40 号龛,北山观音坡第 40 号龛,2,1 男、1 女,释迦牟尼佛、马王菩萨、□王菩萨,刘揆、王氏,摄昌州助教、同政,在职官员(家庭合署),非社邑,造像制作、庄严修饰、,复新重修、妆銮彩绘,现世福报,财富丰足 (门业昌盛),祈福禳灾,家族昌盛,事件未提,[不详],重妆,佛教,密教,
68,北山观音坡袁广造像记,南宋,1127-1279,重庆市大足区龙岗街道北山路北山石刻北山观音坡第 25 号龛,北山观音坡第 25 号龛,1,1 男,释迦佛、三尊供养人像,袁广□,弟子,虔诚弟子,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,亡亲超荐,家庭变故(亡父、亡外父),[不详],新造,佛教,无法判定,
69,北山佛湾李氏九娘子造像记,北宋至道年间（995—997 年）,995-997,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 249 号龛,北山佛湾第 249 号龛,1,女,地藏、观音,李氏九娘子,女弟子,虔诚弟子,非社邑,庄严修饰、供养施舍、纪念庆赞、,妆銮彩绘、设斋供养、设斋表赞,超度往生,往生净土 (追广生界),超度荐亡,亡亲超荐,家庭变故(亡夫主王廷略),[不详],重妆,佛教,观音体系；地藏体系,
70,北山佛湾董氏造像记,北宋咸平二年（999 年）,999,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 279 号龛,北山佛湾第 279 号龛,2,2 女,尊胜幢,董氏,女弟子,虔诚弟子,非社邑,庄严修饰、纪念庆赞、,妆銮彩绘、设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,密教,
71,北山佛湾陈绍珣造像记,北宋咸平四年（1001 年）,1001,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 253 号龛,北山佛湾第 253 号龛,2,1 男、1 女,观音、地藏,陈绍珣、黄氏,都知兵马使前知昌元永川大足县事、室家,在职官员(家庭合署),非社邑,庄严修饰、供养施舍、纪念庆赞、纪念庆赞、,妆銮彩绘、法会供养、设斋表赞、立碑题铭,现世福报,消灾免难 (愿获眷尚平善),祈福禳灾,消灾免难,地方暴力(淳化五年草乱),[不详],重妆,佛教,观音体系；地藏体系,
72,北山佛湾张文信造像记,北宋咸平六年（1003 年）,1003,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 247 号龛,北山佛湾第 247 号龛,至少1人,男,救苦观音菩萨,张文信,佛子,虔诚弟子,非社邑,造像制作、庄严修饰、纪念庆赞、,绘塑造像、妆銮彩绘、设斋表赞,信息不详,信息不详,信息不详,护子求嗣,事件未提,[不详],重妆,佛教,观音体系,
73,北山佛湾胡承进造像记,北宋景德二年（1005 年）,1005,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 281 号龛,北山佛湾第 281 号龛,1,男,药师佛,胡承进,弟子,虔诚弟子,非社邑,庄严修饰、纪念庆赞、,妆銮彩绘、设斋表赞,信息不详,信息不详,祈福禳灾,家族昌盛,事件未提,[不详],重妆,佛教,药师体系,
74,北山佛湾吕存造像记,北宋宣和四年（1122 年）,1122,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 168 号窟,北山佛湾第 168 号窟,1,未知（题记模糊）,罗汉,吕存（或□□存）,奉善弟子,虔诚弟子,非社邑,造像制作、庄严修饰、,发心造像、妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
75,北山佛湾文志造像记,南宋建炎二年（1128 年）,1128,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 168 号窟,北山佛湾第 168 号窟,至少2人,至少1男、1 女,罗汉,文志夫妇一家,昌州克宁荣□挥十将、眷属,在职官员(家庭合署),非社邑,造像制作、庄严修饰、纪念庆赞、纪念庆赞、,发心造像、妆銮彩绘、设斋表赞、立碑题铭,现世福报,福寿康宁 (安乐),祈福禳灾,护宅安镇/家族昌盛,事件未提,[不详],重妆,佛教,无法判定,
76,北山佛湾赵仲□造像记,南宋,1127-1279,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 168 号窟,北山佛湾第 168 号窟,2,1 男、1 女,罗汉,赵仲□、王氏,奉善弟子、同政,虔诚弟子(家庭合署),非社邑,庄严修饰、供养施舍、供养施舍、纪念庆赞、,妆銮彩绘、设斋供养、看经念诵、设斋表赞,现世福报,子嗣昌盛 (为膝下),祈福禳灾,护子求嗣,事件未提,[不详],重妆,佛教,无法判定,
77,北山佛湾何□造像记,南宋,1127-1279,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 176 号龛,北山佛湾第 176 号龛,至少2人,至少1 男、1 女,弥勒下生经变,何□、赵氏,清信弟子、同政,虔诚弟子(家庭合署),非社邑,庄严修饰、,妆銮彩绘,现世福报,消灾免难 (眼目校可),祈福禳灾,祛病安康,事件未提,[不详],重妆,佛教,弥勒体系,
78,北山佛湾陈吉造像记,南宋绍兴十六年（1146 年）,1146,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 136 号窟,北山佛湾第 136 号窟,5,3 男、2 女,释迦牟尼佛,陈吉、郭氏、文明、王氏,奉善弟子、眷属,虔诚弟子(家庭合署),非社邑,供养施舍、庄严修饰、,施财舍物、妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
79,南山石刻何正言造三清记,南宋绍兴年间（1131—1162 年）,1131-1162,重庆市大足区龙岗街道北山路南山石刻 5 号窟三清古洞,南山 5 号窟三清古洞,4,2 男、2 女,以 “三清” 为主的道教神像,何正言、杨氏、张全一、赵氏,舍地开山造功德者、开山化首,混合群体(虔诚弟子、普通百姓),非社邑,供养施舍、寺院建设、造像制作、造像制作、,施财舍物、开窟凿洞、发心造像、组织营建,信息不详,信息不详,信息不详,信息不详 (道教开山),事件未提,[不详],新造,道教,无法判定,
80,南山石刻何正言造后土圣母记,南宋绍兴二十四年之前,≤1154,重庆市大足区龙岗街道北山路南山石刻 4 号窟,南山 4 号窟,3,3 男,后土圣母、九天监生大神、九天送生夫人、何氏父子像、何氏婆媳像,何正言、何浩、杨氏、张全一,父、男乡贡进士、化首,混合群体(名门士族、虔诚弟子),非社邑,造像制作、,组织营建,现世福报,子嗣昌盛 (送生),祈福禳灾,护子求嗣,事件未提,[不详],新造,道教,无法判定,
81,舒成岩王谅造玉皇记,南宋绍兴十三年（1143 年）,1143,重庆市大足区中敖镇大屋村舒成岩第 5 号龛,舒成岩第 5 号龛,1,男,玉皇、二侍女、二天尊、供养人像,王谅、王举、朱业、伏忠靖,修撰、奉命书、镌龛匠师,混合群体(在职官员、商贾匠人),非社邑,造像制作、供养施舍、纪念庆赞、,镌刻雕造、法会供养、设斋表赞,现世福报,福寿康宁 (保寿龄年),祈福禳灾,延寿增福,事件未提,[不详],新造,道教,无法判定,上元节
82,舒成岩王谅造东岳大帝记,南宋绍兴二十二年（1152 年）,1152,重庆市大足区中敖镇大屋村舒成岩第 2 号龛,舒成岩第 2 号龛,1,男,东岳大帝、男侍、女侍、天尊,王谅、王举、王用之、伏元俊、伏元信、吴宗明,前本县押录、撰者、掌岩道士、都作、小作,混合群体(在职官员、僧尼个体、商贾匠人),非社邑,造像制作、寺院建设、纪念庆赞、造像制作、寺院建设、,发心造像、建寺创殿、立碑题铭、镌刻雕造、开窟凿洞,现世福报,福寿康宁 (慈亲等北海之寿),报恩酬德,报父母恩,事件未提,[不详],新造,道教,无法判定,
83,舒成岩宋美意造像记,南宋绍兴二十三年（1153 年）,1153,重庆市大足区中敖镇大屋村舒成岩第 1 号龛,舒成岩第 1 号龛,1,男,淑明皇后、二侍者、一执剑武士、一抱婴女像,宋美意,奉道弟子,虔诚弟子,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,现世福报,消灾免难 (气疾退散),祈福禳灾,祛病安康,事件未提,[不详],新造,道教,无法判定,
84,舒成岩造像记,南宋,1127-1279,重庆市大足区中敖镇大屋村舒成岩第 3 号龛,舒成岩第 3 号龛,「不详」,[不详],紫微大帝、三首六臂神将、一首四臂神将,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详 (道教),事件未提,[不详],新造,道教,无法判定,
85,佛耳岩文玠造像记,南宋乾道三年（1167 年）,1167,重庆市大足区邮亭镇佛耳岩第 2 号龛,佛耳岩第 2 号龛,3,3 男,天尊像,文玠、文孟周、文孟通,东普攻镌处士、匠人,商贾匠人,非社邑,造像制作、纪念庆赞、,镌刻雕造、立碑题铭,信息不详,信息不详,信息不详,信息不详 (道教),事件未提,[不详],新造,道教,无法判定,
86,佛儿岩赵宁造像记,南宋,1127-1279,重庆市大足区佛儿岩石窟右第 4 号龛,佛儿岩右第 4 号龛,2,1 男、1 女,三清四御像,赵宁、同诚氏,奉道弟子、同诚,普通百姓群体,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,现世福报,福寿康宁 (寿算延),祈福禳灾,延寿增福,事件未提,[不详],新造,道教,无法判定,
87,佛儿岩第 4 号龛造像记,南宋,1127-1279,重庆市大足区佛儿岩第 4 号龛,佛儿岩第 4 号龛,「不详」,未知（题记模糊）,天尊群像,「不详」,无,[不详],非社邑,信息不详、,信息不详,现世福报,子嗣昌盛 (子孙),祈福禳灾,护子求嗣,事件未提,[不详],新造,道教,无法判定,
88,石壁寺资胜造像记,北宋大中祥符六年（1013 年）,1013,重庆市大足区天宝乡新兴村石壁寺,石壁寺,1,男,毗沙门天王,资□胜,弟子,虔诚弟子,非社邑,造像制作、纪念庆赞、,发心造像、设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,密教,
89,石篆山石窟第 8 号龛造像记,北宋元丰六年（1083 年）,1083,重庆市大足区三驱镇佛惠村石篆山石窟第 8 号龛,石篆山第 8 号龛,「不详」,未知（题记模糊）,太上老君、玄中大法师、太极真人等道教神像,「不详」,无,[不详],非社邑,造像制作、纪念庆赞、,镌刻雕造、立碑题铭,信息不详,信息不详,信息不详,信息不详 (道教),事件未提,[不详],新造,道教,无法判定,
90,石篆山石窟文惟简造志公和尚像记,北宋元丰八年（1085 年）,1085,重庆市大足区三驱镇佛惠村石篆山石窟第 2 号龛,石篆山第 2 号龛,1,男,志公和尚及弟子等,文惟简,岳阳镌匠,商贾匠人,非社邑,造像制作、纪念庆赞、,镌刻雕造、立碑题铭,修行证悟,觉悟成佛 (见性成佛),修证悟道,弘传佛法,事件未提,梁武帝问志公和尚药方偈：世间有不失人身药方否，有方使不负心二具□□三两慈悲行三寸忍辱根□□□善方便五两□知□六分□烦恼七□，炼六波罗蜜为丸，忌三恶不嗔痴,新造,佛教,禅宗,
91,石篆山石窟严逊造像记,北宋元佑三年（1088 年）,1088,重庆市大足区三驱镇佛惠村石篆山石窟第 6 号龛,石篆山第 6 号龛,2,2 男,文宣王（孔子）、颜回、闵损、冉有、端木、言偃等,严逊、文惟简,供养弟子、岳阳处士(匠师),混合群体(虔诚弟子、商贾匠人),非社邑,供养施舍、纪念庆赞、造像制作、造像制作、,法会供养、设斋表赞、发心造像、镌刻雕造,修行证悟,断惑解脱 (聪明多智),祈福禳灾,延寿增福,事件未提,[不详],新造,儒教,无法判定,
92,石篆山石窟文惟简造三身佛像记,北宋元丰五年（1082 年）、元佑三年（1088 年）,1082、1088,重庆市大足区三驱镇佛惠村石篆山石窟第 7 号龛,石篆山第 7 号龛,4,5 男,三身佛、二比丘像、三菩萨像、男供养人像、女供养人像、十弟子像等,文惟简、居政、居周、居礼,岳阳镌匠、匠师子弟,商贾匠人(家庭合署),非社邑,供养施舍、纪念庆赞、纪念庆赞、,法会供养、设斋表赞、立碑题铭,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
93,石篆山石窟文惟简造文殊普贤像记,北宋元佑五年（1090 年）,1090,重庆市大足区三驱镇佛惠村石篆山石窟第 5 号龛,石篆山第 5 号龛,3,3 男,文殊、普贤,文惟简、居安、居礼,岳阳镌作文、匠师子弟,商贾匠人(家庭合署),非社邑,造像制作、纪念庆赞、,镌刻雕造、立碑题铭,信息不详,信息不详,信息不详,信息不详 (工匠题记),事件未提,[不详],新造,佛教,无法判定,中秋，月光菩萨圣诞
94,石篆山石窟文惟简造地藏像记,北宋绍圣三年（1096 年）,1096,重庆市大足区三驱镇佛惠村石篆山石窟第 9 号龛,石篆山第 9 号龛,3,3 男,地藏、十王及比丘、比丘尼等,文惟简、居安、居礼,岳阳镌匠、匠师子弟,商贾匠人(家庭合署),非社邑,造像制作、纪念庆赞、,镌刻雕造、立碑题铭,信息不详,信息不详,信息不详,信息不详 (工匠题记),事件未提,[不详],新造,佛教,地藏体系,
